Number,Place,Gender,Age,Province,Swim,T1,Cycle,T2,Run
154,81.0,F,34,Munster,856,131.0,2513.0,83.0,1633.0
155,151.0,F,36,Connacht,1015,229.0,2891.0,101.0,1643.0
156,93.0,F,30,Leinster,837,115.0,2580.0,87.0,1711.0
157,181.0,F,34,Leinster,1243,156.0,2937.0,119.0,2412.0
158,,F,31,Leinster,977,136.0,2955.0,98.0,
159,152.0,F,38,Leinster,825,168.0,2955.0,92.0,1871.0
160,106.0,F,34,Leinster,770,158.0,2667.0,96.0,1739.0
161,158.0,F,36,Leinster,947,122.0,2734.0,105.0,2131.0
162,166.0,F,49,Leinster,835,218.0,3120.0,128.0,1945.0
163,161.0,F,45,Connacht,957,234.0,3181.0,92.0,1716.0
164,65.0,F,41,Ulster,939,176.0,2336.0,68.0,1602.0
165,110.0,F,43,Ulster,979,131.0,2416.0,27.0,1900.0
166,164.0,F,47,Munster,1064,140.0,3028.0,121.0,1881.0
167,182.0,F,49,Connacht,1283,189.0,3394.0,118.0,2001.0
168,16.0,F,40,Ulster,624,76.0,2378.0,48.0,1356.0
169,125.0,F,45,Leinster,765,152.0,2746.0,83.0,1868.0
170,,F,49,Munster,949,146.0,2727.0,66.0,
171,83.0,M,41,Leinster,727,188.0,2511.0,189.0,1604.0
172,54.0,F,46,Leinster,812,167.0,2304.0,66.0,1666.0
173,85.0,F,46,Leinster,912,151.0,2458.0,89.0,1626.0
174,78.0,F,45,Connacht,1019,143.0,2492.0,113.0,1423.0
175,127.0,F,62,Munster,832,143.0,2756.0,93.0,1825.0
176,122.0,F,51,Connacht,1063,205.0,4285.0,,
177,115.0,F,59,Munster,828,220.0,2661.0,83.0,1696.0
178,184.0,F,64,Munster,1217,567.0,3443.0,118.0,2543.0
179,74.0,F,36,Munster,861,160.0,2649.0,58.0,1449.0
180,140.0,F,37,Connacht,822,166.0,2821.0,80.0,1882.0
181,126.0,F,21,Leinster,769,162.0,2635.0,94.0,1983.0
182,25.0,M,36,Leinster,648,120.0,2498.0,63.0,1328.0
183,1.0,M,36,Ulster,577,73.0,1867.0,47.0,1195.0
184,143.0,F,35,Leinster,778,186.0,2932.0,96.0,1818.0
185,178.0,M,35,Munster,1804,247.0,2720.0,99.0,1735.0
186,42.0,M,31,Leinster,645,157.0,2540.0,75.0,1476.0
187,68.0,F,47,Leinster,864,164.0,2632.0,61.0,1417.0
188,120.0,F,28,Leinster,915,126.0,2792.0,67.0,1636.0
